Variable	Data Type	Data Element Postion	Description
SURVYEAR	N		1			FISCAL YEAR OF SURVEY (2006)
E62		N		126			FACILITIES ACQUISITION PROPERTY (LAND & BUILDINGS)
E63		N		127			FACILITIES ACQUISITION PROPERTY (EQUIPMENT)
STE6		N		128			FACILITIES ACQUISITION NONPROPERTY & PROPERTY TOTAL
E7A1		N		129			OTHER USE DEBT SERVICE INTEREST
E7A2		N		130			OTHER USE DEBT SERVICE REDEMPTION
STE7		N		131			OTHER USE DEBT SERVICE SUBTOTAL
E81		N		132			COMMUNITY SERVICE NONPROPERTY
E82		N		133			COMMUNITY SERVICE PROPERTY
E9A		N		134			DIRECT COST PROGRAM NONPUBLIC SCHOOL
E9B		N		135			DIRECT COST PROGRAM ADULT EDUCATION
E9C		N		136			DIRECT COST PROGRAM COMMUNITY COLLEGE
E9D		N		137			DIRECT COST PROGRAM OTHER
E91		N		138			DIRECT COST PROGRAM PROPERTY
STE9		N		139			DIRECT COST PROGRAM SUBTOTAL 
TE10		N		140			PROPERTY TOTAL
TE11		N		141			TOTAL EXPENDITURES FOR EDUCATION
X12C		N		142			EXCLUSION FOR PL 100 297 TITLE I 
X12D		N		143			EXCLUSION FOR PL 100 297 TITLE I CARRYOVER
X12E		N		144			EXCLUSION FOR PL 100 297 TITLE V, PART A
X12F		N		145			EXCLUSION FOR PL 100 297 TITLE V, PART A CARRYOVER
TX12		N		146			TOTAL EXCLUSION FOR PL 100 297
NCE13		N		147			NET CURRENT EXPENDITURES
ADA		N		148			ADA (STATE AND NCES DEFINITION)
A14A		N		149			ADA (STATE DEFINITION)
A14B		N		150			ADA (NCES DEFINITION)
PPE15		N		151			PER PUPIL EXPENDITURES
MEMBR05	        N		152			TOTAL STUDENT MEMBERSHIP
